variant,status,correct,count,accuracy,dim1_correct,dim1_accuracy,dim2_correct,dim2_accuracy,dim3_correct,dim3_accuracy,target_calls,judge_calls,total_calls,estimated_total_usd,delta_correct_vs_full_qvf,delta_accuracy_vs_full_qvf_pp,evidence_label
full_qvf_sidecar,promoted_claim_evidence,1088,1200,0.9066666666666666,380,0.95,338,0.845,370,0.925,1200,400,1600,0.6962959499999999,0,0.0,"local main slice: STALE400 full400 sharded API, full_qvf_sidecar"
annotation_only_qvf_sidecar,fresh_current_code_control,1054,1200,0.8783333333333333,382,0.955,321,0.8025,351,0.8775,1200,400,1600,0.80871015,-34,-2.833333333333332,sharded full benchmark aggregation: current-code annotation_only_qvf_sidecar
no_stale_blocking_sidecar,fresh_current_code_control,1054,1200,0.8783333333333333,375,0.9375,312,0.78,367,0.9175,1200,400,1600,0.6519378,-34,-2.833333333333332,sharded full benchmark aggregation: current-code no_stale_blocking_sidecar
